1,表拆除,"9999(标记) 表拆除，停用热",1
2,拆管,"9998 表正常且平台有数据，管拆",2
3,黑屏无数据,"9997(标记) 表坏（包括黑屏且平台无数据、现场无数据且平台全为0、数据线断且无法连接、表显示数据异常且平台无数据）",3
4,机械表坏,"9996(标记) 关阀，报警0040，叶轮卡死，表坏",4
5,黑屏上位有数据,"9995(标记) 黑屏且平台有数据，表坏",5
6,远传故障未修复,"9992(标记) 现场有数据，平台全为0，远传故障",6
7,MBUS线路故障已修复,"9994 数据线未接，处理接上，验证有数据平台不需修改",7
8,温传线路故障未修复,"9993(标记) 温传线故障（线断等），平台表现为有瞬流，无瞬热，累流增加，累热不变",8
9,温传线路故障已修复,温传线故障（线断等），平台表现为有瞬流，无瞬热，累流增加，累热不变,9
10,未装表,"9991(标记) 无表，管道连接，正常使用",10
11,装表未远传,"9990(标记) 表本身未连接远传。例如：一梯三户，中户表装家里，无法连接远传",11
12,未知,未知,0
13,MBUS线路故障未修复,线路未连接,12
14,人工抄表,人工抄表,13
15,阀门关,阀门关,14
